CustomerID,EventType,EventTimestamp,SessionID,Browser,OS
12147,purchase,2021-07-16 16:23:30,940350,Opera,Windows
16521,view,2021-02-12 14:59:19,707398,Edge,Windows
13215,purchase,2021-07-21 15:40:10,495004,Firefox,iOS
11089,view,2021-03-26 04:02:13,963576,Firefox,Android
18626,view,2021-05-14 02:11:45,796383,Firefox,Windows
10697,logout,2021-02-22 10:46:01,338091,Firefox,Windows
12265,purchase,2021-12-19 18:19:28,358591,Edge,Windows
16302,purchase,2021-09-16 21:06:28,197325,Safari,Windows
12559,logout,2021-06-29 23:01:52,958362,Safari,macOS
19008,view,2021-12-22 18:53:14,346052,Chrome,Windows
12762,logout,2021-08-23 22:58:46,575789,Safari,iOS
12747,login,2021-04-08 21:30:59,522448,Firefox,iOS
12913,login,2021-01-26 19:44:33,724496,Chrome,macOS
10349,view,2021-11-03 17:56:15,115594,Safari,iOS
16788,login,2021-01-12 14:44:50,314991,Safari,Android
15325,login,2021-12-25 11:13:43,100785,Edge,Linux
11966,view,2021-08-10 16:49:43,561597,Firefox,Android
11149,click,2021-08-25 04:53:32,515937,Firefox,Android
10026,logout,2021-06-15 01:01:52,713687,Chrome,Linux
19848,purchase,2021-10-19 03:33:00,931986,Safari,Windows
12407,purchase,2021-06-15 18:01:39,430979,Edge,iOS
15570,purchase,2021-09-03 08:01:09,866541,Safari,Android
19187,purchase,2021-08-24 12:46:38,245282,Opera,Linux
13107,purchase,2021-04-26 13:51:00,269675,Safari,iOS
14392,view,2021-12-16 04:04:40,809044,Edge,Android
19730,login,2021-12-28 23:59:57,551430,Opera,Linux
19813,click,2021-01-20 18:25:11,641799,Opera,Android
14528,click,2021-10-16 12:11:22,322731,Edge,Linux
14961,view,2021-11-27 20:34:28,641421,Opera,Linux
10509,click,2021-01-07 23:00:30,626203,Edge,Windows
14627,login,2021-03-29 01:55:28,938273,Opera,Windows
16254,view,2021-08-11 02:02:39,881467,Chrome,Android
18973,logout,2021-01-08 03:25:06,650333,Chrome,Linux
19001,login,2021-11-26 03:44:38,981223,Firefox,macOS
10065,click,2021-03-13 00:54:49,445136,Safari,Windows
12738,click,2021-03-10 16:45:46,864313,Edge,Windows
18588,view,2021-06-07 03:03:14,279019,Firefox,iOS
16116,logout,2021-07-23 20:53:38,229722,Chrome,iOS
11315,view,2021-05-20 14:42:54,310450,Edge,Linux
18024,login,2021-05-07 16:09:11,856484,Safari,Windows
17763,view,2021-07-03 04:00:34,876938,Safari,Linux
16056,login,2021-03-03 11:13:35,731740,Firefox,Android
17860,click,2021-08-31 15:05:51,120106,Opera,macOS
14098,purchase,2021-04-07 04:18:13,277004,Firefox,Windows
16674,view,2021-11-21 11:44:35,762643,Chrome,Linux
11069,click,2021-10-27 15:24:50,669398,Safari,Linux
17715,purchase,2021-12-29 22:45:47,936273,Opera,iOS
17178,view,2021-11-25 07:21:39,482080,Firefox,iOS
11014,click,2021-05-28 06:55:40,286885,Edge,Android
14356,login,2021-12-07 17:32:40,111952,Firefox,Android
10261,login,2021-01-06 09:27:53,986221,Chrome,iOS
12804,purchase,2021-09-15 17:06:48,688135,Chrome,Linux
12802,logout,2021-05-04 22:06:32,411000,Chrome,macOS
15672,click,2021-09-07 18:18:18,319564,Safari,iOS
16294,purchase,2021-01-03 06:29:02,269741,Edge,iOS
14805,purchase,2021-06-13 16:14:40,982118,Edge,iOS
14362,logout,2021-03-01 19:01:08,799921,Firefox,iOS
12200,click,2021-04-15 00:04:23,122983,Firefox,Android
10883,login,2021-03-28 03:02:39,460596,Safari,Linux
13526,view,2021-10-03 06:15:54,399912,Opera,macOS
19749,purchase,2021-02-18 05:50:31,548599,Firefox,Windows
18544,login,2021-05-08 22:25:31,437076,Chrome,Android
17843,login,2021-07-04 02:30:37,857830,Opera,macOS
17163,purchase,2021-03-31 12:41:57,638411,Firefox,Linux
14125,view,2021-07-19 16:01:44,331274,Opera,iOS
16572,logout,2021-05-23 12:33:01,916391,Firefox,Linux
11315,view,2021-04-04 22:15:23,385107,Safari,macOS
14958,purchase,2021-10-22 09:51:41,632369,Opera,Windows
17766,click,2021-09-12 00:01:35,938890,Opera,Windows
12019,purchase,2021-06-08 23:20:53,335964,Safari,Android
14693,click,2021-03-28 01:15:45,972300,Firefox,Android
18319,logout,2021-08-01 20:36:40,906147,Safari,Android
16539,logout,2021-08-04 14:16:50,729335,Edge,Linux
16870,logout,2021-03-04 05:58:54,995062,Edge,macOS
17936,click,2021-01-30 02:50:10,340107,Edge,Windows
12022,view,2021-02-06 05:48:45,982452,Safari,macOS
14204,view,2021-10-22 10:25:33,469742,Safari,macOS
18204,view,2021-03-12 21:21:26,526750,Chrome,Android
17177,click,2021-05-09 03:12:02,430075,Firefox,macOS
19501,purchase,2021-07-15 09:29:56,168776,Opera,Windows
16573,login,2021-02-01 23:45:26,192018,Chrome,macOS
12168,purchase,2021-07-29 09:31:28,363443,Opera,Android
16598,logout,2021-01-23 05:09:40,263971,Opera,Linux
11154,logout,2021-06-13 21:42:24,787481,Chrome,iOS
18136,logout,2021-03-08 14:23:11,105003,Firefox,iOS
18162,view,2021-04-07 05:43:49,951263,Firefox,Windows
19677,click,2021-12-25 04:39:37,807860,Opera,iOS
15278,click,2021-07-08 13:00:28,807056,Safari,Windows
15663,purchase,2021-06-05 15:02:43,194195,Chrome,macOS
12211,logout,2021-11-08 08:24:38,166008,Opera,macOS
19429,click,2021-05-04 03:31:52,405883,Edge,Linux
18930,click,2021-12-23 17:08:19,397043,Chrome,iOS
14629,logout,2021-05-12 08:30:05,668554,Safari,Android
18521,click,2021-06-23 21:27:45,318902,Edge,Android
10005,click,2021-03-01 11:36:53,194810,Opera,Windows
12561,logout,2021-07-07 15:08:10,270977,Opera,Windows
15809,purchase,2021-03-03 07:34:03,770881,Safari,iOS
14734,purchase,2021-01-28 02:10:22,407866,Chrome,Windows
13095,view,2021-06-29 04:06:03,429934,Safari,Linux
11213,click,2021-03-13 16:29:20,699517,Chrome,iOS
14778,logout,2021-01-28 14:36:44,803622,Edge,iOS
10911,click,2021-06-24 00:42:18,563661,Opera,Android
12538,purchase,2021-06-25 08:41:20,355144,Safari,iOS
16742,click,2021-03-30 08:30:19,729844,Edge,Linux
14978,purchase,2021-07-17 19:12:51,142934,Opera,iOS
16416,click,2021-08-30 09:20:34,586441,Chrome,macOS
17588,view,2021-02-25 00:48:47,262756,Firefox,Windows
15191,click,2021-02-05 06:57:00,146331,Safari,Android
18643,view,2021-05-18 04:21:46,142549,Chrome,Windows
17380,purchase,2021-07-11 09:59:44,421261,Edge,macOS
17254,purchase,2021-02-15 07:58:18,282724,Firefox,Linux
12804,click,2021-12-02 07:30:23,567877,Firefox,iOS
16114,purchase,2021-12-04 21:48:43,361986,Chrome,Windows
17428,click,2021-06-08 04:05:44,291243,Safari,iOS
14538,logout,2021-07-03 08:37:19,828189,Firefox,Linux
13447,login,2021-06-27 09:10:20,411020,Opera,iOS
10834,logout,2021-04-24 07:30:51,726288,Chrome,iOS
12429,logout,2021-08-22 13:40:04,228338,Edge,Windows
13744,purchase,2021-05-14 22:20:02,572928,Chrome,macOS
12760,purchase,2021-10-31 16:09:56,163812,Edge,Windows
11509,click,2021-12-26 12:32:34,672336,Safari,Linux
10383,login,2021-11-26 01:57:21,295368,Chrome,Android
17225,view,2021-11-04 08:13:27,376559,Opera,Windows
16610,click,2021-06-29 00:56:45,710928,Firefox,Windows
17085,logout,2021-05-09 06:59:45,414624,Safari,iOS
13595,login,2021-06-17 20:15:33,332362,Firefox,Windows
19680,click,2021-05-09 20:09:05,182322,Edge,iOS
11719,logout,2021-04-26 23:23:17,816670,Chrome,Android
14528,view,2021-05-31 11:25:43,105319,Safari,iOS
16727,view,2021-08-24 17:50:12,986947,Edge,Android
13284,login,2021-09-18 16:40:34,529704,Firefox,iOS
11323,logout,2021-04-21 09:19:17,491656,Safari,Windows
18468,logout,2021-08-19 20:49:29,676620,Opera,Windows
15028,view,2021-02-06 23:03:05,688064,Opera,Android
10016,logout,2021-06-02 13:32:15,111833,Firefox,macOS
15945,purchase,2021-05-28 16:12:44,714489,Opera,Linux
17756,view,2021-11-06 18:44:22,589181,Chrome,Windows
18559,view,2021-12-02 20:25:00,575534,Chrome,Windows
12787,logout,2021-11-11 01:39:48,393008,Firefox,Windows
11520,view,2021-03-07 20:29:50,493021,Edge,Linux
17129,view,2021-08-27 12:42:28,134558,Safari,macOS
15989,logout,2021-07-30 22:07:37,222262,Safari,iOS
10183,click,2021-10-17 06:22:36,976073,Safari,Linux
16534,view,2021-10-25 12:58:11,524382,Edge,Linux
16255,click,2021-04-05 00:38:28,377226,Firefox,iOS
10188,logout,2021-11-29 18:09:23,221719,Firefox,Android
16487,click,2021-07-24 21:17:19,954845,Edge,iOS
16489,purchase,2021-03-05 03:23:36,819107,Edge,iOS
16223,view,2021-03-13 07:59:32,597475,Chrome,Windows
17221,purchase,2021-04-21 03:50:04,715131,Chrome,Windows
14056,click,2021-12-22 15:26:47,143637,Opera,macOS
13405,logout,2021-03-14 22:30:17,460627,Firefox,Linux
19919,view,2021-04-29 18:46:18,811105,Firefox,Android
18202,purchase,2021-12-09 00:27:22,988330,Chrome,macOS
18590,purchase,2021-08-28 16:28:56,605579,Opera,Linux
14516,click,2021-11-25 08:59:35,828390,Firefox,Linux
13272,click,2021-11-12 00:00:38,743590,Firefox,Android
19438,purchase,2021-08-24 10:28:27,314385,Opera,Linux
15256,logout,2021-04-09 17:42:49,984805,Firefox,Windows
13225,login,2021-04-15 14:23:32,712804,Edge,Android
12275,purchase,2021-12-05 10:44:58,520839,Edge,Android
15740,purchase,2021-07-22 14:04:50,493716,Edge,iOS
10929,login,2021-06-01 17:03:07,966893,Opera,iOS
15138,logout,2021-11-24 07:14:44,888568,Chrome,Windows
16643,purchase,2021-10-01 16:49:55,736711,Firefox,macOS
18968,login,2021-07-17 02:00:07,136588,Opera,Android
10029,purchase,2021-03-06 00:47:17,121087,Safari,Android
16193,login,2021-11-11 18:32:53,756341,Firefox,macOS
13155,logout,2021-05-10 06:24:56,205893,Firefox,Android
14687,view,2021-05-12 12:00:26,497846,Safari,Android
13108,view,2021-09-23 02:03:30,318771,Opera,iOS
12095,login,2021-12-02 11:31:42,670854,Firefox,macOS
14860,view,2021-07-31 15:52:13,212384,Chrome,macOS
15374,click,2021-09-22 16:33:25,105860,Edge,Linux
