Date,Sales,Customers
2021-01-01,109.93428306022466,8
2021-01-02,97.2347139765763,4
2021-01-03,112.95377076201385,11
2021-01-04,130.46059712816052,8
2021-01-05,95.31693250553329,8
2021-01-06,95.3172608610164,12
2021-01-07,131.58425631014782,12
2021-01-08,115.34869458305818,9
2021-01-09,90.61051228130096,11
2021-01-10,110.8512008717193,12
2021-01-11,90.73164614375075,11
2021-01-12,90.68540492859486,10
2021-01-13,104.83924543132068,12
2021-01-14,61.73439510684404,16
2021-01-15,65.50164334973934,10
2021-01-16,88.75424941518054,7
2021-01-17,79.74337759331152,10
2021-01-18,106.28494665190547,6
2021-01-19,81.83951848957578,12
2021-01-20,71.75392597329417,6
2021-01-21,129.31297537843108,12
2021-01-22,95.4844739902693,11
2021-01-23,101.35056409375848,11
2021-01-24,71.50503627573087,7
2021-01-25,89.11234550949635,11
2021-01-26,102.21845179419732,7
2021-01-27,76.98012845155395,7
2021-01-28,107.51396036691344,12
2021-01-29,87.9872262016239,10
2021-01-30,94.16612500413447,15
2021-01-31,87.96586775541206,5
2021-02-01,137.04556369017877,6
2021-02-02,99.73005550524132,6
2021-02-03,78.84578142088199,11
2021-02-04,116.45089824206377,9
2021-02-05,75.58312700057955,7
2021-02-06,104.1772719000951,6
2021-02-07,60.80659752240449,9
2021-02-08,73.43627902203139,13
2021-02-09,103.93722471738246,8
2021-02-10,114.76933159990821,12
2021-02-11,103.4273656237994,6
2021-02-12,97.68703435223519,10
2021-02-13,93.97792608821422,13
2021-02-14,70.42956019265145,6
2021-02-15,85.60311583210583,10
2021-02-16,90.78722458080425,9
2021-02-17,121.1424445243783,8
2021-02-18,106.87236579136923,13
2021-02-19,64.73919689274533,12
2021-02-20,106.4816793878959,10
2021-02-21,92.29835439167367,12
2021-02-22,86.46155999388083,7
2021-02-23,112.23352577681736,10
2021-02-24,120.61999044991902,8
2021-02-25,118.62560238232398,8
2021-02-26,83.21564953554723,9
2021-02-27,93.81575248297571,6
2021-02-28,106.62526862807128,6
2021-03-01,119.51090254244718,16
2021-03-02,90.4165152430942,13
2021-03-03,96.28682046672365,9
2021-03-04,77.87330051987944,8
2021-03-05,76.07586751838659,9
2021-03-06,116.25051644788397,8
2021-03-07,127.12480057141646,15
2021-03-08,98.55979756839332,7
2021-03-09,120.07065795784048,14
2021-03-10,107.23272050095268,9
2021-03-11,87.09760490789752,9
2021-03-12,107.22791211016828,16
2021-03-13,130.76073132931938,5
2021-03-14,99.28347921780097,7
2021-03-15,131.29287311628013,14
2021-03-16,47.60509791820511,8
2021-03-17,116.43805008750448,13
2021-03-18,101.74094136476343,10
2021-03-19,94.01985299068265,10
2021-03-20,101.83521553071004,10
2021-03-21,60.248621707982146,8
2021-03-22,95.60656224324975,11
2021-03-23,107.14225143023492,9
2021-03-24,129.55788089483033,18
2021-03-25,89.63459563452705,11
2021-03-26,83.83012794213624,10
2021-03-27,89.96485912830927,10
2021-03-28,118.30804235404148,5
2021-03-29,106.57502219319369,8
2021-03-30,89.40479592465923,17
2021-03-31,110.26534866226712,12
2021-04-01,101.9415509869608,9
2021-04-02,119.37289981065778,10
2021-04-03,85.95893812245295,15
2021-04-04,93.44675706804463,14
2021-04-05,92.15783693735685,14
2021-04-06,70.72970103735763,11
2021-04-07,105.92240554129152,14
2021-04-08,105.22110544359779,9
2021-04-09,100.10226913284922,14
2021-04-10,95.30825733249706,9
2021-04-11,71.69258515899172,9
2021-04-12,91.58709354469282,11
2021-04-13,93.14570966946461,9
2021-04-14,83.95445461556761,10
2021-04-15,96.77428576667981,11
2021-04-16,108.08101713629077,10
2021-04-17,137.7237180242106,6
2021-04-18,103.49155625663678,8
2021-04-19,105.15100781445528,8
2021-04-20,98.51108168467665,10
2021-04-21,61.62457569401917,14
2021-04-22,99.46972249101566,9
2021-04-23,101.20460419882053,11
2021-04-24,149.26484224970574,9
2021-04-25,96.15278070437755,13
2021-04-26,106.03094684667225,4
2021-04-27,99.30576460589513,9
2021-04-28,76.62643924760935,11
2021-04-29,122.85645629030041,13
2021-04-30,115.03866065373549,4
2021-05-01,115.82063894086093,7
2021-05-02,81.81225090410521,17
2021-05-03,128.05588621872198,10
2021-05-04,71.96297874415438,15
2021-05-05,111.73714187600541,4
2021-05-06,143.80911251619958,9
2021-05-07,80.18927349738624,9
2021-05-08,88.67404540794456,20
2021-05-09,101.99302730175282,17
2021-05-10,89.93048691767602,6
2021-05-11,68.98673137867735,11
2021-05-12,101.37125949612054,12
2021-05-13,78.7539257254779,14
2021-05-14,109.47184861270364,17
2021-05-15,81.61151531532394,10
2021-05-16,130.9986881003508,7
2021-05-17,84.33493415327526,8
2021-05-18,93.55876967588648,9
2021-05-19,116.27034434739339,10
2021-05-20,75.3827136713209,11
2021-05-21,104.54919869208258,9
2021-05-22,126.14285508564856,9
2021-05-23,67.85033530877544,6
2021-05-24,103.69267717064608,16
2021-05-25,105.19765588496847,8
2021-05-26,115.6364574355462,13
2021-05-27,75.26098578243835,13
2021-05-28,73.59086773831447,9
2021-05-29,110.43883131233795,11
2021-05-30,105.93969346466372,15
2021-05-31,105.00985700691753,9
2021-06-01,106.9289641899395,7
2021-06-02,86.39950556843019,17
2021-06-03,104.64507394322007,13
2021-06-04,105.86144946597362,8
