CustomerID,Age,SpendCategory,TransactionAmount,ProductCategory
90166,65,High,484.3969327045458,Electronics
41361,49,Low,185.81528810562898,Electronics
96044,47,Medium,178.33295798133508,Electronics
87539,19,Medium,444.8787925422141,Clothing
70709,25,Low,807.6844825398448,Home
69606,50,Medium,141.7229145310598,Clothing
22215,63,High,249.23974224010968,Beauty
51174,59,High,586.2099194609339,Beauty
39859,47,Medium,434.8642723573902,Clothing
70585,62,Medium,208.2240207167966,Home
53228,59,High,1470.1984674394948,Clothing
80655,62,Low,817.6439565961693,Electronics
73187,45,Medium,450.5387601692176,Electronics
45076,30,Medium,59.678896089769125,Clothing
91537,41,Low,348.6275495487824,Home
80655,50,High,265.80054114049125,Electronics
32120,22,Low,589.7652966556427,Home
76101,65,Low,141.01723499943384,Beauty
71035,23,Low,236.64288110225544,Beauty
50407,21,Medium,622.110559761913,Home
22090,59,High,481.35044051743137,Beauty
84528,60,High,103.3725047272801,Electronics
60430,51,Medium,690.4668649244483,Electronics
38206,46,Low,356.8414441885916,Beauty
55701,38,Medium,238.3601071657326,Electronics
33575,43,Low,814.1017065560511,Electronics
80620,49,Low,245.63196747274202,Electronics
62656,39,Low,550.7780172477601,Beauty
39300,58,Low,978.7898045159772,Beauty
24062,31,Medium,549.5182873628411,Clothing
53485,51,Low,368.4611688073191,Beauty
97533,54,Medium,423.4124706353068,Beauty
20621,61,Low,11.142519930759594,Clothing
72258,18,Medium,459.7135486407702,Clothing
32901,49,High,326.7900654024942,Electronics
49673,49,Medium,427.1848345861097,Home
23634,68,High,95.11671334444455,Clothing
37736,41,Medium,925.8459996324042,Home
75912,61,High,101.43954567719626,Beauty
50910,38,Medium,155.01827381610406,Electronics
60256,29,Low,540.3918542971834,Electronics
65898,37,High,232.54107817375487,Clothing
85875,54,Low,251.82489347205768,Home
68957,37,High,232.59475973384167,Home
97594,19,Low,204.7959535314032,Home
48010,31,Low,581.4180426154846,Home
78383,34,Medium,1210.4778849299908,Home
21659,41,Low,346.1722485359311,Electronics
83750,47,High,315.3954873528144,Home
49430,32,High,168.17588751792556,Home
62500,66,High,438.770555758341,Home
90990,51,Medium,292.69956550712266,Clothing
19110,25,Medium,676.0326177052342,Beauty
85707,59,High,116.93305835115635,Electronics
43144,20,Low,275.3482399124838,Beauty
90920,28,Medium,559.6485919780313,Clothing
49202,44,Low,514.7039070686944,Beauty
35826,26,Medium,346.44255035259397,Clothing
52156,32,Medium,201.87536791718964,Clothing
36246,49,Medium,199.7480034609916,Beauty
34004,28,Medium,524.6786630306434,Clothing
91183,20,High,666.3845469559284,Clothing
54100,43,Medium,708.3317018478781,Electronics
21544,24,Medium,280.3863411795713,Beauty
21102,45,High,221.38078991116373,Home
75491,56,High,427.01943914673916,Clothing
32869,21,High,294.0246801701228,Electronics
39541,47,High,230.73233837540243,Clothing
28150,55,Low,269.281822552801,Beauty
97425,68,High,504.1523860136624,Home
20556,31,High,229.4298232265174,Clothing
38552,53,High,225.85944776466243,Electronics
62396,48,Low,305.1682819458504,Beauty
92463,68,High,152.48212257847794,Beauty
21463,36,Low,476.4804469707811,Home
54623,66,Medium,162.800603491747,Home
40560,68,Low,312.3024597663745,Home
24410,29,High,372.6078506313409,Beauty
97967,66,Low,11.43787316614003,Home
68119,32,Low,262.83835925626056,Home
26351,26,Low,475.39495621666595,Beauty
44388,44,Low,108.50787412671951,Clothing
24968,37,Low,319.46737820271653,Electronics
84259,45,Low,253.91160088940376,Electronics
50596,42,Low,195.21954296000652,Electronics
92808,33,Low,176.30923577304557,Clothing
69257,35,Medium,259.0692127542187,Beauty
59544,67,Medium,723.9118320125785,Beauty
52581,53,High,435.0784066354696,Electronics
46225,21,High,310.428282920037,Clothing
12363,38,High,567.3044300255336,Home
99274,44,High,399.84578320303046,Home
37436,18,High,604.4188939681587,Home
43085,22,High,203.79107723369611,Electronics
32921,61,Medium,281.15399349360143,Electronics
88202,63,Medium,811.2298984980046,Beauty
18896,27,Medium,81.21315090527736,Electronics
23785,67,Low,542.8431736830776,Electronics
68385,38,Low,359.7346216879768,Home
96164,27,High,256.48330979237926,Clothing
63805,43,Medium,1497.8810237931843,Beauty
49653,33,High,111.78971854816007,Clothing
